,data/row_0_col_1638/region_12_with_border.png,data/row_0_col_1638/region_10_with_border.png,data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_1_with_border.png,data/row_0_col_1638/region_11_with_border.png,data/row_0_col_1638/region_7_with_border.png,data/row_0_col_1638/region_6_with_border.png,data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_13_with_border.png,data/row_0_col_1638/region_8_with_border.png,data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_14_with_border.png
data/row_0_col_1638/region_12_with_border.png,0,0,0,0,0,0,0,0,0,0,2451,0,0,0
data/row_0_col_1638/region_10_with_border.png,0,0,0,0,0,0,0,0,0,0,0,944,0,0
data/row_0_col_1638/region_4_with_border.png,0,0,0,0,0,1265,1381,8739,0,0,0,0,4118,0
data/row_0_col_1638/region_1_with_border.png,0,0,0,0,0,0,0,95,0,0,0,1644,0,0
data/row_0_col_1638/region_11_with_border.png,0,0,0,0,0,0,0,0,0,0,2649,0,0,0
data/row_0_col_1638/region_7_with_border.png,0,0,1265,0,0,0,0,0,0,0,0,0,743,0
data/row_0_col_1638/region_6_with_border.png,0,0,1381,0,0,0,0,401,0,0,0,0,0,0
data/row_0_col_1638/region_2_with_border.png,0,0,8739,95,0,0,401,0,0,0,0,0,1218,0
data/row_0_col_1638/region_13_with_border.png,0,0,0,0,0,0,0,0,0,0,0,0,0,2158
data/row_0_col_1638/region_8_with_border.png,0,0,0,0,0,0,0,0,0,0,1027,145,0,0
data/row_0_col_1638/region_9_with_border.png,2451,0,0,0,2649,0,0,0,0,1027,0,0,0,0
data/row_0_col_1638/region_3_with_border.png,0,944,0,1644,0,0,0,0,0,145,0,0,0,0
data/row_0_col_1638/region_5_with_border.png,0,0,4118,0,0,743,0,1218,0,0,0,0,0,0
data/row_0_col_1638/region_14_with_border.png,0,0,0,0,0,0,0,0,2158,0,0,0,0,0
